Epoch 5/1000, Input: [-0.53568242], Target: [60466176.], Output: [53.805036124468046]
Epoch 5/1000, Input: [-0.35388974], Target: [1.], Output: [54.805036124468046]
Epoch 5/1000, Input: [-0.2084556], Target: [59049.], Output: [54.79427511724315]
Epoch 6/1000, Input: [-0.24481414], Target: [1024.], Output: [55.79427511724315]
Epoch 6/1000, Input: [-0.28117267], Target: [1.], Output: [55.987916262219706]
Epoch 6/1000, Input: [-0.35388974], Target: [1.], Output: [55.97691867896726]
Epoch 6/1000, Input: [3.31832231], Target: [1.e+20], Output: [55.96592329523146]
Epoch 6/1000, Input: [-0.68111656], Target: [1.e+10], Output: [56.96592329523146]
Epoch 6/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [57.96592329523146]
Epoch 6/1000, Input: [-0.46296535], Target: [1048576.], Output: [58.96592329523146]
Epoch 6/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [59.96592329523146]
Epoch 6/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [60.96592329523146]
Epoch 6/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [61.96592329523146]
Epoch 6/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [62.96592329523146]
Epoch 6/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [63.96592329523146]
Epoch 6/1000, Input: [-0.53568242], Target: [60466176.], Output: [64.96592329523146]
Epoch 6/1000, Input: [-0.35388974], Target: [1.], Output: [65.96592329523146]
Epoch 6/1000, Input: [-0.2084556], Target: [59049.], Output: [65.95293011057241]
Epoch 7/1000, Input: [-0.24481414], Target: [1024.], Output: [66.95293011057241]
Epoch 7/1000, Input: [-0.28117267], Target: [1.], Output: [67.14433952455029]
Epoch 7/1000, Input: [-0.35388974], Target: [1.], Output: [67.13111065664538]
Epoch 7/1000, Input: [3.31832231], Target: [1.e+20], Output: [67.11788443451405]
Epoch 7/1000, Input: [-0.68111656], Target: [1.e+10], Output: [68.11788443451405]
Epoch 7/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [69.11788443451405]
Epoch 7/1000, Input: [-0.46296535], Target: [1048576.], Output: [70.11788443451405]
Epoch 7/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [71.11788443451405]
Epoch 7/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [72.11788443451405]
Epoch 7/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [73.11788443451405]
Epoch 7/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [74.11788443451405]
Epoch 7/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [75.11788443451405]
Epoch 7/1000, Input: [-0.53568242], Target: [60466176.], Output: [76.11788443451405]
Epoch 7/1000, Input: [-0.35388974], Target: [1.], Output: [77.11788443451405]
Epoch 7/1000, Input: [-0.2084556], Target: [59049.], Output: [77.10266085762716]
Epoch 8/1000, Input: [-0.24481414], Target: [1024.], Output: [78.10266085762716]
Epoch 8/1000, Input: [-0.28117267], Target: [1.], Output: [78.29184032545564]
Epoch 8/1000, Input: [-0.35388974], Target: [1.], Output: [78.27638195739054]
Epoch 8/1000, Input: [3.31832231], Target: [1.e+20], Output: [78.26092668099906]
Epoch 8/1000, Input: [-0.68111656], Target: [1.e+10], Output: [79.26092668099906]
Epoch 8/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [80.26092668099906]
Epoch 8/1000, Input: [-0.46296535], Target: [1048576.], Output: [81.26092668099906]
Epoch 8/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [82.26092668099906]
Epoch 8/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [83.26092668099906]
Epoch 8/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [84.26092668099906]
Epoch 8/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [85.26092668099906]
Epoch 8/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [86.26092668099906]
Epoch 8/1000, Input: [-0.53568242], Target: [60466176.], Output: [87.26092668099906]
Epoch 8/1000, Input: [-0.35388974], Target: [1.], Output: [88.26092668099906]
Epoch 8/1000, Input: [-0.2084556], Target: [59049.], Output: [88.24347449566287]
Epoch 9/1000, Input: [-0.24481414], Target: [1024.], Output: [89.24347449566287]
Epoch 9/1000, Input: [-0.28117267], Target: [1.], Output: [89.43042580076373]
Epoch 9/1000, Input: [-0.35388974], Target: [1.], Output: [89.41273971560358]
Epoch 9/1000, Input: [3.31832231], Target: [1.e+20], Output: [89.39505716766045]
Epoch 9/1000, Input: [-0.68111656], Target: [1.e+10], Output: [90.39505716766045]
Epoch 9/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [91.39505716766045]
Epoch 9/1000, Input: [-0.46296535], Target: [1048576.], Output: [92.39505716766045]
Epoch 9/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [93.39505716766045]
Epoch 9/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [94.39505716766045]
Epoch 9/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [95.39505716766045]
Epoch 9/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [96.39505716766045]
Epoch 9/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [97.39505716766045]
Epoch 9/1000, Input: [-0.53568242], Target: [60466176.], Output: [98.39505716766045]
Epoch 9/1000, Input: [-0.35388974], Target: [1.], Output: [99.39505716766045]
Epoch 9/1000, Input: [-0.2084556], Target: [59049.], Output: [99.37537815622692]
Epoch 10/1000, Input: [-0.24481414], Target: [1024.], Output: [100.37537815622692]
Epoch 10/1000, Input: [-0.28117267], Target: [1.], Output: [100.56010308059567]
Epoch 10/1000, Input: [-0.35388974], Target: [1.], Output: [100.54019105997955]
Epoch 10/1000, Input: [3.31832231], Target: [1.e+20], Output: [100.52028302176755]
Epoch 10/1000, Input: [-0.68111656], Target: [1.e+10], Output: [101.52028302176755]
Epoch 10/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [102.52028302176755]
Epoch 10/1000, Input: [-0.46296535], Target: [1048576.], Output: [103.52028302176755]
Epoch 10/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [104.52028302176755]
Epoch 10/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [105.52028302176755]
Epoch 10/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [106.52028302176755]
Epoch 10/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [107.52028302176755]
Epoch 10/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [108.52028302176755]
Epoch 10/1000, Input: [-0.53568242], Target: [60466176.], Output: [109.52028302176755]
Epoch 10/1000, Input: [-0.35388974], Target: [1.], Output: [110.52028302176755]
Epoch 10/1000, Input: [-0.2084556], Target: [59049.], Output: [110.4983789651632]
Epoch 11/1000, Input: [-0.24481414], Target: [1024.], Output: [111.4983789651632]
Epoch 11/1000, Input: [-0.28117267], Target: [1.], Output: [111.68087928937017]
Epoch 11/1000, Input: [-0.35388974], Target: [1.], Output: [111.65874311351229]
Epoch 11/1000, Input: [3.31832231], Target: [1.e+20], Output: [111.63661136488959]
Epoch 11/1000, Input: [-0.68111656], Target: [1.e+10], Output: [112.63661136488959]
Epoch 11/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [113.63661136488959]
Epoch 11/1000, Input: [-0.46296535], Target: [1048576.], Output: [114.63661136488959]
Epoch 11/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [115.63661136488959]
Epoch 11/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [116.63661136488959]
Epoch 11/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [117.63661136488959]
Epoch 11/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [118.63661136488959]
Epoch 11/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [119.63661136488959]
Epoch 11/1000, Input: [-0.53568242], Target: [60466176.], Output: [120.63661136488959]
Epoch 11/1000, Input: [-0.35388974], Target: [1.], Output: [121.63661136488959]
Epoch 11/1000, Input: [-0.2084556], Target: [59049.], Output: [121.61248404261661]
Epoch 12/1000, Input: [-0.24481414], Target: [1024.], Output: [122.61248404261661]
Epoch 12/1000, Input: [-0.28117267], Target: [1.], Output: [122.79276154580809]
Epoch 12/1000, Input: [-0.35388974], Target: [1.], Output: [122.76840299349892]
Epoch 12/1000, Input: [3.31832231], Target: [1.e+20], Output: [122.74404931290023]
Epoch 12/1000, Input: [-0.68111656], Target: [1.e+10], Output: [123.74404931290023]
Epoch 12/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [124.74404931290023]
Epoch 12/1000, Input: [-0.46296535], Target: [1048576.], Output: [125.74404931290023]
Epoch 12/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [126.74404931290023]
Epoch 12/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [127.74404931290023]
